X,Y,fid,Localidad,Provincia,Región,Longitud,Latitud,Siglo,Ficha BD,icon_url
-5.74619127311321,41.504582816048,"1",Zamora [2],Zamora,Castilla-León,"-5.746191273113214","41.50458281604796",XIV,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=8""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/8.jpg""></a>",./0.png
-6.04435078512472,41.5247354913983,"2",Villalcampo,Zamora,Castilla-León,"-6.044350785124725","41.524735491398275",XIV,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=13""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/13.jpg""></a>",./0.png
-3.70439203044287,42.3418408392931,"3",Burgos,Burgos,Castilla-León,"-3.7043920304428664","42.34184083929313",XIV,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=22""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/22.jpg""></a>",./0.png
-4.53080333077213,42.0098914348454,"4",Palencia [1],Palencia,Castilla-León,"-4.5308033307721285","42.00989143484539",XIV,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=23""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/23.jpg""></a>",./0.png
-1.22275782936467,41.3383074233636,"5",Cariñena,Zaragoza,Aragón,"-1.222757829364667","41.33830742336363",XIV,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=86""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/86.jpg""></a>",./0.png
-4.25981292923399,42.7928572228839,"6",Aguilar de Campoo,Palencia,Castilla-León,"-4.25981292923399","42.79285722288389",XIV,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=156""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/156.jpg""></a>",./0.png
-3.0268212595972,42.4505250611139,"7",Grañón,La Rioja,La Rioja,"-3.026821259597197","42.45052506111394",XIV,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=249""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/249.jpg""></a>",./0.png
-4.27288373087084,37.4445830244227,"8",Carcabuey,Córdoba,Andalucía,"-4.272883730870842","37.444583024422734",XIV,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=319""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/319.jpg""></a>",./0.png
-9.2637060595867,42.9017791746984,"9",Fisterra,A Coruña,Galicia,"-9.263706059586696","42.90177917469844",XIV,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=330""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/330.jpg""></a>",./0.png
-7.33988310192206,42.655044146052,"10",O Incio,Lugo,Galicia,"-7.339883101922059","42.65504414605203",XIV,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=331""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/331.jpg""></a>",./0.png
-8.64000371727676,42.0490054833599,"11",Tui,Pontevedra,Galicia,"-8.64000371727676","42.04900548335988",XIV,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=333""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/333.jpg""></a>",./0.png
