X,Y,fid,Localidad,Provincia,Región,Longitud,Latitud,Siglo,Ficha BD,icon_url
-6.2287471387327,41.78835493499,"1",Bercianos de Aliste,Zamora,Castilla-León,"-6.228747138732698","41.78835493499",XVI,"<a title=""Ficha→BD"" target=""_blank"" href=""https://juliomontanes.synology.me/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=2""><img src=""https://juliomontanes.synology.me/bases/articulados/imagenes/tn/2.jpg""></a>",./0.png
-5.9842411603327,37.3921427712677,"2",Sevilla [1],Sevilla,Andalucía,"-5.984241160332703","37.39214277126768",XVI,"<a title=""Ficha→BD"" target=""_blank"" href=""https://juliomontanes.synology.me/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=16""><img src=""https://juliomontanes.synology.me/bases/articulados/imagenes/tn/16.jpg""></a>",./0.png
-5.74787371805045,37.3752858379794,"3",Mairena del Alcor,Sevilla,Andalucía,"-5.74787371805045","37.37528583797944",XVI,"<a title=""Ficha→BD"" target=""_blank"" href=""https://juliomontanes.synology.me/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=29""><img src=""https://juliomontanes.synology.me/bases/articulados/imagenes/tn/29.jpg""></a>",./0.png
-4.87857444412996,37.2908095399769,"4",Estepa,Sevilla,Andalucía,"-4.8785744441299626","37.290809539976934",XVI,"<a title=""Ficha→BD"" target=""_blank"" href=""https://juliomontanes.synology.me/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=30""><img src=""https://juliomontanes.synology.me/bases/articulados/imagenes/tn/30.jpg""></a>",./0.png
-6.13118315972146,36.678305116805,"5",Jerez de la Frontera,Cádiz,Andalucía,"-6.131183159721461","36.67830511680501",XVI,"<a title=""Ficha→BD"" target=""_blank"" href=""https://juliomontanes.synology.me/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=31""><img src=""https://juliomontanes.synology.me/bases/articulados/imagenes/tn/31.jpg""></a>",./0.png
-5.96813876155326,37.400094081628,"6",Sevilla [2],Sevilla ?,Andalucía,"-5.968138761553258","37.400094081628",XVI,"<a title=""Ficha→BD"" target=""_blank"" href=""https://juliomontanes.synology.me/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=32""><img src=""https://juliomontanes.synology.me/bases/articulados/imagenes/tn/32.jpg""></a>",./0.png
-4.55657753396492,37.0181000262328,"7",Antequera,Málaga,Andalucía,"-4.556577533964923","37.018100026232766",XVI,"<a title=""Ficha→BD"" target=""_blank"" href=""https://juliomontanes.synology.me/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=33""><img src=""https://juliomontanes.synology.me/bases/articulados/imagenes/tn/33.jpg""></a>",./0.png
-6.98321935483412,38.6709730884924,"8",Valverde de Leganés,Badajoz,Extremadura,"-6.983219354834119","38.67097308849239",XVI,"<a title=""Ficha→BD"" target=""_blank"" href=""https://juliomontanes.synology.me/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=34""><img src=""https://juliomontanes.synology.me/bases/articulados/imagenes/tn/34.jpg""></a>",./0.png
-6.37063493809107,39.4760743035587,"9",Cáceres,Cáceres,Extremadura,"-6.370634938091075","39.47607430355874",XVI,"<a title=""Ficha→BD"" target=""_blank"" href=""https://juliomontanes.synology.me/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=38""><img src=""https://juliomontanes.synology.me/bases/articulados/imagenes/tn/38.jpg""></a>",./0.png
-5.54641822865886,36.9231764973417,"10",Puerto Serrano,Cádiz,Andalucía,"-5.546418228658858","36.923176497341714",XVI,"<a title=""Ficha→BD"" target=""_blank"" href=""https://juliomontanes.synology.me/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=43""><img src=""https://juliomontanes.synology.me/bases/articulados/imagenes/tn/43.jpg""></a>",./0.png
